subtaskID,datapointID,answer
1,1,9000.0
2,1,4443.0
3,1,15.510666666666667
4,1,412.0
5,12618012,113.21634530448786
5,19091177,117.81006100689946
5,14793975,94.30527508834793
5,17338539,145.37028872017186
5,16351902,14.577234435252958
5,10116277,221.34797631860815
5,11045810,61.79165502247699
5,10825501,38.266189506361414
5,19727017,106.61187395574343
5,16451525,95.5800229707782
5,19783354,170.9124668709267
5,15890999,11.035921146157728
5,13899986,56.84137017301127
5,19266216,112.27148564855719
5,10836299,160.89790719928484
5,10712930,9.40707841191451
5,17110501,208.13283627278506
5,12449126,237.66522534544424
5,18063957,108.93608663749481
5,16379355,185.40354631459124
5,11895218,3.8457734366181313
5,14242881,158.62851801311015
5,10531383,8.501981117867638
5,13363777,80.40790006973612
5,12810706,163.80912290956883
5,18327170,109.9427081917469
5,16994274,9.954231225124342
5,19197815,158.7545068788427
5,19263638,70.68177503389663
5,17355831,13.850170477620942
5,17878231,100.73192614183034
5,19389535,43.4058059133955
5,15556930,6.42658628486814
5,14412517,173.57067051495855
5,18869437,8.771321376097843
5,16680862,10.688290964378417
5,10694934,137.27317077049264
5,18511325,43.46218310817866
5,18888478,146.6775578528443
5,19238785,15.015503829658321
5,12356410,167.93473466593287
5,16009926,63.07229945659368
5,17749763,78.9358077477682
5,17157156,66.97677769277594
5,12828450,14.344931432738118
5,18672521,43.527141736996704
5,17374859,80.97462943952392
5,11018598,90.89234806120412
5,12198133,11.381914893958207
5,11942073,17.90462476540358
5,13924806,39.38752353992401
5,18937879,166.04117235875776
5,16743442,106.54832053882025
5,15558386,18.38861202875784
5,19894490,70.71934172399608
5,15119296,12.585035925928445
5,16616271,6.842558688308847
5,18729355,48.17581781572249
5,13361468,52.24685554109696
5,17765743,157.98457271227613
5,19508477,34.91222213954182
5,19249358,199.80659827385173
5,17119426,203.02945965037873
5,17189450,25.37851604551991
5,13211594,71.46811083483682
5,12458777,36.70609614236836
5,13407292,29.628095214913017
5,12356630,108.75487424332385
5,12338147,72.94094988459536
5,15769427,134.1616367612027
5,11323469,123.65823512522505
5,17333762,126.27355823316418
5,12990892,129.45625775920013
5,16817348,35.529532817798255
5,17127278,27.570500456527846
5,13574028,18.50408468012585
5,17423465,89.27759548161247
5,18468299,210.5431688386865
5,15628837,71.87207453071447
5,14634993,90.75132551125702
5,10928223,142.3992036799162
5,18069339,134.77357259589368
5,17643401,66.5084199206758
5,16169462,18.02942930452192
5,17547681,87.61295092843078
5,17283720,18.736906370280494
5,10561982,147.0958181407982
5,14039719,103.55818821554335
5,10794997,220.83388158352417
5,10018110,0.5251343938882274
5,18735761,120.37381990890688
5,15744627,168.55050861487302
5,15059795,209.22675400875895
5,18430900,98.21354283001992
5,12667831,60.365122452702636
5,11602835,175.2823391578359
5,15322514,12.54220639969104
5,15319150,16.925156270903432
5,10881697,81.33937709752563
5,10825665,104.69338200676941
5,13473399,28.623362524585538
5,19159482,90.63465026504787
5,10444932,171.311638881796
5,15360654,112.44234028788244
5,18695596,22.34897926247828
5,13153010,152.8114006642821
5,18672971,64.68939039810795
5,19809046,59.096761113170615
5,16646640,77.09724922345778
5,14777293,130.5386067192453
5,11110860,109.35412897627334
5,10539965,9.972878744887247
5,16627485,180.82179910982933
5,19090637,78.57384930892412
5,11989680,22.530066511973033
5,13065291,4.646951417360901
5,15798518,5.335040672180016
5,15168455,126.99442421192848
5,10244000,14.755991267389227
5,19257291,209.28545233629592
5,19531529,13.368942086654343
5,12359689,6.106463945925389
