datapointID,answer,subtaskID
1281512fcf73003a,"[0, 0, 0, 0]",1
d55fca1f7ecb1cd2,"[0, 0, 0, 0]",1
46eeb411aa6b5bb5,"[0, 0, 0, 0]",1
743df2065dcc5090,"[0, 0, 0, 0]",1
9197533ca96d3642,"[0, 0, 0, 0]",1
66de5c8e7e926298,"[0, 0, 0, 0]",1
e1f31aed3c2d4fdd,"[0, 0, 0, 0]",1
b66bb30e48aee74a,"[0, 0, 0, 0]",1
d22e0513c6bf7957,"[0, 0, 0, 0]",1
88f3bd5b1e8b7cdd,"[0, 0, 0, 0]",1
f56fb3f7ba98c720,"[0, 0, 0, 0]",1
b967f8719484d01e,"[0, 0, 0, 0]",1
68ce2a40a0cb8c0a,"[0, 0, 0, 0]",1
ba682b75bf9c8eac,"[0, 0, 0, 0]",1
4532ff691834ef41,"[0, 0, 0, 0]",1
4e03d19f026ed924,"[0, 0, 0, 0]",1
f03c341ee1b65632,"[0, 0, 0, 0]",1
0462c0075ea3a646,"[0, 0, 0, 0]",1
04ee5770f437d31c,"[0, 0, 0, 0]",1
be89d2c198c62e3e,"[0, 0, 0, 0]",1
e6e693497dd6aa6b,"[0, 0, 0, 0]",1
a174a33f01e539e1,"[0, 0, 0, 0]",1
4368d67cfeb54881,"[0, 0, 0, 0]",1
ee6b13d55883410e,"[0, 0, 0, 0]",1
df2f20a2d6ade7b8,"[0, 0, 0, 0]",1
b9124b5bd253a895,"[0, 0, 0, 0]",1
f6b3a87981eaf88e,"[0, 0, 0, 0]",1
df89a3807410e290,"[0, 0, 0, 0]",1
ab70a13bd8a78897,"[0, 0, 0, 0]",1
be92ec24153520ea,"[0, 0, 0, 0]",1
d968f056ff7ea547,"[0, 0, 0, 0]",1
92fcb484f409ccf2,"[0, 0, 0, 0]",1
8bd3f2f7d8093f68,"[0, 0, 0, 0]",1
f7b7f16b9afb7159,"[0, 0, 0, 0]",1
1f4d376654fc850c,"[0, 0, 0, 0]",1
5a9975b40e965946,"[0, 0, 0, 0]",1
89c5e025350899d7,"[0, 0, 0, 0]",1
ac288e34198ad42a,"[0, 0, 0, 0]",1
99e0c83ace7750e2,"[0, 0, 0, 0]",1
6ff80592b5f2e52b,"[0, 0, 0, 0]",1
b562a7ec521b9d4d,"[0, 0, 0, 0]",1
d5c95459644d467e,"[0, 0, 0, 0]",1
