ID,LocalEarnings,ChronoIndex,RoomMetric,SleepUnits,TotalResidents,DwellRatio,GeoLat,GeoLon,Price
0,4.0488,35.0,6.176938369781312,1.0315186246418335,1336.0,2.6833667334669338,33.95,-117.4,1.637
1,1.9018,43.0,3.517857142857143,0.9761904761904762,1583.0,3.738095238095238,33.9,-118.24,1.176
2,2.2891,51.0,5.277777777777778,1.0763888888888888,519.0,2.7152777777777777,35.37,-119.0,0.266
3,3.6369,5.0,4.165820642978003,1.0554371002132197,1524.0,1.6724137931034482,32.77,-117.18,2.252
4,2.6979,18.0,4.938837920489297,1.1254396248534584,1225.0,2.5168195718654434,32.82,-116.96,0.942
5,4.2775,4.0,6.63481228668942,1.1179554390563564,10450.0,3.107108081791626,34.02,-117.58,1.717
6,12.0933,44.0,7.8125,1.0104166666666667,540.0,2.8125,34.14,-118.46,5.00001
7,4.8359,52.0,5.678403755868545,1.0140845070422535,607.0,2.6269005847953215,37.76,-122.23,2.447
8,6.0661,35.0,5.9154078549848945,1.0950226244343892,403.0,2.226519337016575,37.45,-122.23,3.87
9,7.2692,21.0,7.29700272479564,1.0735694822888284,1358.0,3.122119815668203,34.14,-118.42,3.8
10,5.1857,35.0,6.328671328671328,1.013986013986014,627.0,2.344988344988345,38.61,-121.39,1.668
11,3.7969,35.0,4.623145400593472,1.1024498886414251,1007.0,3.482490272373541,34.08,-118.04,1.795
12,7.9187,52.0,8.406175771971496,1.0178117048346056,1175.0,2.824593128390597,37.86,-122.23,3.079
13,3.8158,18.0,3.879154078549849,1.039274924471299,1541.0,5.001061571125265,33.75,-117.86,1.159
14,4.0197,27.0,5.334500875656743,1.0595446584938704,1407.0,2.4640980735551663,38.66,-121.32,1.373
15,3.8606,34.0,5.6679174484052535,1.107988165680473,1868.0,2.793570219966159,38.62,-121.32,1.746
16,4.5659,15.0,6.094420600858369,1.022653721682848,3838.0,3.3997955010224947,32.96,-116.98,1.941
17,4.675,19.0,6.844765342960288,1.0421994884910486,1318.0,2.4394299287410925,38.7,-121.32,1.953
18,2.4167,26.0,5.18798955613577,1.00355871886121,1168.0,2.7297830374753453,40.29,-120.49,0.976
19,7.0842,26.0,6.945945945945946,0.972972972972973,749.0,2.8378378378378377,37.89,-122.26,3.016
20,5.6756,26.0,5.965141612200436,1.0348583877995643,5613.0,3.422319474835886,37.6,-122.06,1.52
21,3.3995,26.0,3.84257602862254,1.0679785330948122,1341.0,2.3989266547406083,33.78,-117.93,1.834
22,4.9375,45.0,5.376413570274637,1.0145395799676895,1776.0,3.25280567040756,37.71,-122.45,2.154
23,1.9848,42.0,3.8282208588957056,1.0829297820823245,4071.0,3.932515337423313,34.05,-118.21,1.145
24,2.7569,24.0,3.690578158458244,1.0598290598290598,1493.0,1.8414055080721747,33.98,-118.36,1.753
25,5.1155,23.0,5.423772609819121,1.028423772609819,1229.0,2.708010335917313,38.33,-122.31,2.453
26,3.6597,29.0,4.775047258979206,1.0390763765541742,1532.0,2.77675117370892,32.81,-117.13,1.621
27,6.7418,37.0,6.979910714285714,1.0178571428571428,1015.0,2.4375,34.16,-118.47,3.147
28,4.6607,22.0,6.067193675889328,1.1264822134387351,1415.0,2.849802371541502,37.97,-121.99,2.291
29,3.4659,15.0,5.080536912751678,1.0272952853598014,8686.0,2.538699690402477,34.08,-117.4,1.095
30,2.0161,46.0,3.82312925170068,1.1156462585034013,1700.0,3.4285714285714284,34.06,-118.31,1.898
31,2.9311,24.0,4.302788844621514,1.1872509960159363,524.0,2.087649402390438,34.1,-118.1,1.735
32,7.9614,7.0,7.133079847908745,1.0874524714828897,1996.0,2.615640599001664,33.5,-117.65,3.72
33,3.7557,10.0,5.349127182044888,1.0349127182044888,3199.0,3.0274093722369586,32.72,-117.09,1.22
34,4.6324,32.0,5.438438438438438,1.024024024024024,1134.0,2.3903903903903903,34.16,-118.41,2.353
35,2.7292,22.0,5.602179836512262,1.125340599455041,2194.0,4.542797494780793,33.94,-117.44,1.172
36,2.7031,43.0,4.279627163781624,1.0182370820668694,2230.0,3.7250755287009065,37.78,-122.17,1.181
37,2.3464,10.0,3.369565217391304,1.0765217391304347,860.0,2.0382608695652173,37.39,-122.06,2.375
38,2.2465,37.0,3.892514395393474,1.0425138632162665,2252.0,2.2598425196850394,34.09,-118.31,2.45
39,1.8304,18.0,5.065630397236615,1.0842332613390928,1497.0,2.6047516198704104,39.23,-121.02,1.044
40,4.6806,34.0,7.03855421686747,1.0662650602409638,1242.0,2.843283582089552,36.55,-121.92,3.042
41,3.3281,23.0,4.143947655398037,1.0314913844325608,3749.0,2.3951527924130662,33.88,-118.17,1.695
42,2.5954,29.0,4.907849829351536,1.044368600682594,1365.0,3.567715458276334,34.0,-117.42,0.92
43,1.7868,52.0,4.636085626911315,1.0428134556574924,1346.0,4.094674556213017,37.95,-121.28,0.608
44,3.6875,15.0,3.752941176470588,0.9558823529411764,721.0,1.8352941176470587,37.32,-121.94,2.189
45,2.8097,11.0,3.136150234741784,1.071526822558459,1823.0,2.52755905511811,32.8,-117.2,2.297
46,4.9485,32.0,6.402255639097745,1.0263157894736843,1258.0,2.964473684210526,34.1,-118.27,3.427
47,3.8272,8.0,4.302788844621514,1.1872509960159363,5102.0,2.087649402390438,33.96,-117.42,1.188
48,4.9676,25.0,5.188720173535792,1.0281995661605206,1550.0,2.8156182212581347,34.25,-118.49,2.13
49,3.7361,25.0,4.48,1.15,810.0,2.0,34.0,-118.41,3.186
50,7.8997,33.0,6.4534412955465585,1.008097165991903,733.0,2.562753036437247,37.35,-122.1,5.00001
51,3.5845,5.0,5.26448362720403,0.9773299748110832,2519.0,2.889168765743073,34.14,-118.0,1.839
